Item ID,Description,,Case Weight old,Weight,Case Price Per Pound,price,,,,,,,,,
3521,Corn Sticks – Cajun Hot,,32 lb.,32 ,$3.40,$108.80,,,,,,,,,
3531,Corn Nuts – Original Toasted,,25 lb.,25 ,$3.64,$91.10,,,,,,,,,
3541,Corn Jacks – Chili Cheese,,30 lb.,30 ,$3.60,$108.00,,,,,,,,,
3311,Green Peas R&S,,22 lb.,22 ,$2.78,$61.10,,,,,,,,,
3321,Green Peas – Wasabi ,,22 lb.,22 ,$3.33,$73.35,,,,,,,,,
3111,Pretzel Bites – Peanut Butter,,18 lb.,18 ,$6.54,$117.80,,,,,,,,,
3131,Pretzel Twists – Mini,,29 lb.,6,$11.82,$70.90,,,,,,,,,
3431,Rice Crackers – Chili ,,22 lb.,22 ,$3.11,$68.45,,,,,,,,,
3421,Rice Crackers – Mixed ,,22 lb.,22 ,$3.11,$68.45,,,,,,,,,
3211,Sesame Sticks -- Cheddar ,,15 lb.,15 ,$2.14,$32.10,,,,,,,,,
3221,Sesame Sticks – Garlic ,,15 lb.,15 ,$3.51,$52.65,,,,,,,,,
3231,Sesame Sticks – Honey Roasted,,40 lb.,40 ,$3.93,$157.35,,,,,,,,,
3251,Sesame Sticks – Regular ,,40 lb.,40 ,$3.51,$140.45,,,,,,,,,
3331,Vegetable Chips – High  Vitamin,,18 lb.,18 ,$10.33,$186.00,,,,,,,,,
DRIED FRUIT,,,,,,$0.00,,,,,,,,,
4711,Apple Rings,,22 lb.,22 ,$4.55,$100.20,,,,,,,,,
4721,Apricots,,28 lb.,28 ,$4.44,$124.45,,,,,,,,,
4731,Banana Chips,,14 lb.,14 ,$3.11,$43.55,,,,,,,,,
4701,Black Mission Figs,,30 lb.,30 ,$3.83,$114.90,,,,,,,,,
4121,Cherries,,25 lb.,25 ,$12.00,$300.00,,,,,,,,,
4141,Sliced Cranberries,,25 lb.,25 ,$4.22,$105.55,,,,,,,,,
4221,Coconut Chips – Natural (No Sulfur),,25 lb.,25 ,$3.49,$87.20,,,,,,,,,
4231,Coconut – Sweetened – Shredded ,,25 lb.,25 ,$3.49,$87.20,,,,,,,,,
4241,Coconut – Toasted ,,10 lb.,10 ,$7.56,$75.55,,,,,,,,,
4251,Coconut – Unsweetened – Shredded ,,25 lb.,25 ,$3.44,$86.10,,,,,,,,,
4411,Dates – Pitted ,,15 lb.,15 ,$4.89,$73.35,,,,,,,,,
4421,Date Pieces,,30 lb.,30 ,$2.78,$83.35,,,,,,,,,
100546,Ginger - Diced,,44 lb.,44 ,$4.33,$190.65,,,,,,,,,
4331,Ginger - Sliced ,,44 lb.,44 ,$2.33,$102.52,,,,,,,,,
4781,Kiwi Slices,,44 lb.,44 ,$5.56,$244.45,,,,,,,,,
4515,Mango Slices,,44 lb.,44 ,$4.60,$202.40,,,,,,,,,
4521,Chili Mango Slices,,44 lb.,44 ,$5.11,$224.90,,,,,,,,,
4545,Papaya Diced,,44 lb.,44 ,$3.44,$151.55,,,,,,,,,
4741,Peach Halves,,25 lb.,25 ,$9.56,$238.90,,,,,,,,,
4751,Pear Halves,,25 lb.,25 ,$10.56,$263.90,,,,,,,,,
4615,Pineapple Chunks,,44 lb.,44 ,$4.67,$205.35,,,,,,,,,
4625,Pineapple Diced,,44 lb.,44 ,$4.78,$210.20,,,,,,,,,
4761,Plums – Pitted (Prunes),,25 lb.,25 ,$7.07,$176.65,,,,,,,,,
4321,Raisins – Golden – Seedless ,,30 lb.,30 ,$3.89,$116.65,,,,,,,,,
4311,Raisins – Dark – Seedless ,,30 lb.,30 ,$3.13,$94.00,,,,,,,,,
4151,Strawberries,,44 lb.,44 ,$10.22,$449.80,,,,,,,,,
WRAPPED CANDY,,,,,,$0.00,,,,,,,,,
51211,Atomic Fireballs,,30 lb.,30 ,$3.93,$118.00,,,,,,,,,
51131,Jolly Ranchers – Assorted ,,30 lb.,30 ,$3.93,$118.00,,,,,,,,,
UNWRAPPED CANDY,,,,,,$0.00,,,,,,,,,
52111,Assorted Fruit Slices,,30 lb.,30 ,$2.85,$85.35,,,,,,,,,
52561,Assorted Fruit Sours,,31 lb.,31 ,$3.85,$119.50,,,,,,,,,
19801,Boston Baked Beans,,25 lb.,25 ,$3.44,$86.10,,,,,,,,,
19181,Butter Toffee Almonds,,13 lb.,13 ,$7.45,$96.80,,,,,,,,,
19481,Butter Toffee Peanuts,,21 lb.,21 ,$3.22,$67.65,,,,,,,,,
19691,Caramelized Mixed Nuts,,12 lb.,12 ,$11.27,$135.20,,,,,,,,,
52711,Cherry Sours,,30 lb.,30 ,$3.79,$113.65,,,,,,,,,
52121,Cherry Slices,,31 lb.,31 ,$1.87,$57.97,,,,,,,,,
52521,Chewy Sprees,,30 lb.,30 ,$4.36,$130.65,,,,,,,,,
52211,Cinnamon Bears,,30 lb.,30 ,#N/A,#N/A,,,,,,,,,
19491,Cinamon Toffee Almonds,,12 lb.,12 ,$7.45,$89.35,,,,,,,,,
19191,Cinnamon Toffee Peanuts,,21 lb.,21 ,$4.22,$88.65,,,,,,,,,
19701,French Burnt Peanuts,,20 lb.,20 ,$3.89,$77.80,,,,,,,,,
52551,Fruit Runts,,30 lb.,30 ,$3.93,$118.00,,,,,,,,,
52251,Hot Tamales,,27 lb.,27 ,$3.51,$94.80,,,,,,,,,
52311,Jelly Beans – Assorted ,,30 lb.,30 ,$3.67,$110.20,,,,,,,,,
52331,Jelly Belly - 49 Flavor Mix ,,10 lb.,10 ,$9.89,$98.90,,,,,,,,,
19141,Jordan Almonds – Pastel ,,25 lb.,25 ,$6.56,$163.90,,,,,,,,,
19151,Jordan Almonds – White ,,10 lb.,10 ,$6.65,$66.45,,,,,,,,,
52721,Lemon Drops,,30 lb.,30 ,$3.42,$102.65,,,,,,,,,
52411,Licorice Allsorts,,26.4 lb.,26.4,$3.73,$98.55,,,,,,,,,
52421,Licorice Bridge Mix,,30 lb.,30 ,$5.09,$152.65,,,,,,,,,
52431,Licorice Gems,,10 lb.,10 ,$4.07,$40.65,,,,,,,,,
52451,Licorice Black Australian - Gourmet,,10 lb.,10 ,$5.14,$51.35,,,,,,,,,
52441,Licorice Twists Black ,,12 lb.,12 ,$3.98,$47.75,,,,,,,,,
52261,Licorice Twists Cinnamon,,12 lb.,12 ,$3.98,$47.75,,,,,,,,,
52471,Licorice Twists Red,,12 lb.,12 ,$3.98,$47.75,,,,,,,,,
52481,Licorice Red Australian - Gourmet ,,10 lb.,10 ,$5.14,$51.35,,,,,,,,,
52571,Mike & Ike – Fruit Jells,,27 lb.,27 ,$3.51,$94.80,,,,,,,,,
52131,Orange Slices,,30 lb.,30 ,$2.85,$85.35,,,,,,,,,
52541,Sour Patch Kids,,30 lb.,30 ,$5.65,$169.35,,,,,,,,,
52141,Sour Patch Watermelon,,30 lb.,30 ,$5.65,$169.35,,,,,,,,,
52581,Spice Drops,,30 lb.,30 ,$2.89,$86.65,,,,,,,,,
52621,Strawberry Bricks,,26.4 lb.,26.4,$2.34,$61.78,,,,,,,,,
52751,Swedish Fish,,30 lb.,30 ,$5.09,$152.65,,,,,,,,,
TAFFY,,,,,,$0.00,,,,,,,,,
53241,Cinnamon Taffy,,20 lb.,20 ,$4.29,$85.80,,,,,,,,,
53171,Melon Taffy Assortment ,,20 lb.,,$2.53,$0.00,,,,,,,,,
53261,Peppermint Taffy,,20 lb.,20 ,$4.29,$85.80,,,,,,,,,
53111,Salt Water Taffy Assortment,,20 lb.,20 ,$4.29,$85.80,,,,,,,,,
53131,Tropical Taffy Assortment,,20 lb.,20 ,$4.29,$85.80,,,,,,,,,
GUMMIES,,,,,,$0.00,,,,,,,,,
54111,Gummi Cola Bottles - Haribo ,,30 lb.,,$2.91,$0.00,,,,,,,,,
54121,Gummi Fruit Salad - Haribo ,,30 lb.,,$2.91,$0.00,,,,,,,,,
54131,Gummi Gold Bears – Haribo ,,30 lb.,30,$4.85,$145.35,,,,,,,,,
54141,Gummi Grapefruit - Haribo,,30 lb.,,$2.91,$0.00,,,,,,,,,
54151,Gummi Peaches – Haribo ,,30 lb.,30,$4.85,$145.35,,,,,,,,,
54171,Gummi Raspberries – Haribo ,,30 lb.,30,$4.85,$145.35,,,,,,,,,
54181,Gummi Twin Cherries – Haribo ,,30 lb.,30,$4.85,$145.35,,,,,,,,,
54231,Gummy Baby Bear Cubs,,20 lb.,20 ,$4.89,$97.80,,,,,,,,,
54241,Gummy Bears – 12 Flavors,,20 lb.,20 ,$3.16,$63.10,,,,,,,,,
54391,Gummy Blue Sharks,,30 lb.,30,$2.71,$81.35,,,,,,,,,
54491,Gummy Jet Fighters,,20 lb.,,$1.81,$0.00,,,,,,,,,
54251,Gummy Butterflies,,20 lb.,20 ,$3.16,$63.10,,,,,,,,,
54261,Gummy Peach Rings,,18 lb.,18 ,$3.33,$60.00,,,,,,,,,
54471,Gummy Rainforest Frogs ,,20 lb.,20 ,$3.98,$79.60,,,,,,,,,
54351,Gummy Sour Triple Bears,,26.4 lb.,26.4,$4.55,$120.25,,,,,,,,,
55461,Gummy Watermelon Slices ,,26.4 lb.,26.4,$3.98,$105.00,,,,,,,,,
54271,Gummy Worms,,20 lb.,20 ,$3.16,$63.10,,,,,,,,,
54281,Sour Gummy Worms ,,18 lb.,18 ,$3.33,$60.00,,,,,,,,,
GUM & JAWBREAKERS,,,,,,$0.00,,,,,,,,,
55141,5800 ct. Ball Gum – Assorted Colors (.56”),,5800 ct.,21.3,$4.18,$89.00,,,,,,,,,
55211,1” Bizarre Timebreaker Jawbreakers,,975 ct.,25,$3.44,$86.10,,,,,,,,,
55221,2 _” Bizarre Timebreaker Jawbreakers,,72 ct.,24,$4.16,$99.75,,,,,,,,,
55251,2 _ Psychedelic Jawbreakers,,72 ct.,24,$4.16,$99.75,,,,,,,,,
55261,"3 3/8"" Mega Bruiser Jawbreakers",,6 ct.,24,$1.91,$45.75,,,,,,,,,
SUGAR FREE CANDY,,,,,,$0.00,,,,,,,,,
56211,Sugar Free Almonds – Milk Chocolate,,25 lb.,25 ,$8.00,$200.00,,,,,,,,,
56241,Sugar Free Gummy Bears,,10 lb.,10,$3.80,$38.00,,,,,,,,,
56271,Sugar Free Peanuts – Milk Chocolate,,25 lb.,25 ,$8.42,$210.55,,,,,,,,,
56281,Sugar Free Raisins – Milk Chocolate,,25 lb.,25 ,$4.53,$113.35,,,,,,,,,
56291,Sugar Free Salt Water Taffy,,15 lb.,15 ,$10.67,$160.00,,,,,,,,,
YOGURT,,,,,,$0.00,,,,,,,,,
57251,Raspberry Yogurt Pretzels,,15 lb.,15 ,$5.00,$75.00,,,,,,,,,
57111,Yogurt Almonds,,25 lb.,25 ,$8.96,$223.90,,,,,,,,,
57211,Yogurt Cranberries,,25 lb.,25 ,$6.36,$158.90,,,,,,,,,
57121,Yogurt Peanuts,,25 lb.,25 ,$5.04,$126.10,,,,,,,,,
57231,Yogurt Pretzels,,15 lb.,15 ,$4.40,$66.00,,,,,,,,,
57241,Yogurt Raisins,,25 lb.,25 ,$4.84,$121.10,,,,,,,,,
DARK CHOCOLATE,,,,,,$0.00,,,,,,,,,
61111,Dark Chocolate Almonds,,20 lb.,20 ,$7.98,$159.55,,,,,,,,,
61311,Dark Chocolate Alpine Mints – Pastel Colors,,10 lb.,10 ,$7.71,$77.10,,,,,,,,,
61151,Dark Chocolate Burnt Caramel Almonds,,10 lb.,10 ,$8.45,$84.45,,,,,,,,,
